Rank,Name,Team,Cl,Games,Saves,GA,Goalie Min. Plyd,Pct.
1,Ryan Gross,Lehigh,Sr.,2,4,0,180,1.000
-,Sam Joseph,UCLA,Jr.,2,4,0,180,1.000
-,Nate Martinez,Ga. Southern,Jr.,2,7,0,180,1.000
-,Matias Molina,Seton Hall,Jr.,2,4,0,180,1.000
-,Antreas Hadjigavriel,Bryant,Sr.,2,4,0,150,1.000
-,Phillip Falcon III,Penn,So.,1,2,0,90,1.000
-,Ryan Friedberg,Cornell,Jr.,1,2,0,90,1.000
8,Hugo Do Rego,California Baptist,So.,3,19,1,270,.950
9,Edu Rodriguez,Rhode Island,Sr.,3,16,1,270,.941
10,Eryk Dymora,Monmouth,Sr.,3,15,1,270,.938
11,Fernando Carreon,UTRGV,So.,2,13,1,161,.929
12,Isaiah Goldson,Michigan,So.,3,12,1,270,.923
-,Griffin Huff,Lafayette,Sr.,2,12,1,180,.923
14,Max Kerkvliet,UConn,So.,3,11,1,270,.917
15,Bennet Glinder,Siena,So.,4,10,1,357,.909
-,Freddie Lapworth,Bucknell,Jr.,3,10,1,270,.909
-,Seth Wilson,UNC Greensboro,So.,3,10,1,270,.909
-,Andrew Wike,Boston U.,Sr.,2,10,1,180,.909
19,Mason Taylor,IU Indy,Sr.,4,19,2,270,.905
20,Javier Ramirez,Central Ark.,Jr.,4,27,3,360,.900
-,Josh Tubbs,Holy Cross,Sr.,2,9,1,180,.900
22,Zoltan Nagy,Duquesne,Sr.,4,17,2,315,.895
23,Merrick Cook,CSUN,So.,4,16,2,360,.889
-,Joshua Moya,Pacific,Sr.,4,24,3,360,.889
-,Jack Moxom,Pittsburgh,So.,2,8,1,180,.889
26,JR Gawel,UMass Lowell,Jr.,4,15,2,360,.882
-,Viktor Engh,UNCW,Fr.,3,15,2,270,.882
28,Marten Brink,Marquette,Fr.,5,21,3,450,.875
-,Andrew Cordes,North Carolina,Jr.,4,7,1,360,.875
-,Pierce Holbrook,Navy,Sr.,4,21,3,360,.875
-,Tomas Wroblewski,Elon,Sr.,4,7,1,360,.875
32,Joao Mesquita,Oral Roberts,Sr.,5,25,4,374,.862
33,Josh Hangi,Georgia St.,Sr.,4,24,4,360,.857
-,Michal Mroz,Evansville,Fr.,4,12,2,360,.857
-,Drew Berry,Bradley,Jr.,3,12,2,270,.857
-,Max Leviton,Campbell,Fr.,3,6,1,270,.857
-,Henrik Weiper,Brown,Jr.,1,6,1,90,.857
38,Nigel Van Haveren,FIU,So.,4,29,5,360,.853
39,Nathanael Sallah,Omaha,Sr.,3,17,3,270,.850
40,Andrew Kempe,Temple,Sr.,2,11,2,180,.846
41,Christian Sekanina,Jacksonville,Jr.,4,20,4,360,.833
-,Colin Welsh,Western Mich.,Sr.,4,15,3,360,.833
43,Chema Preciado,Gonzaga,So.,5,14,3,450,.824
-,Daniel Ibarra,Milwaukee,Sr.,3,14,3,270,.824
-,Charlie Farrar,UNC Asheville,Sr.,3,14,3,260,.824
46,Jonny Mennell,Xavier,Jr.,5,18,4,450,.818
-,Emigdio Lopez,UMBC,Jr.,4,18,4,360,.818
